"","Date","Price","Text","bing_score","nrc_score","afin_score"
"1",2017-01-20,55.04,"it all begins today i will see you at a m for the swearing in the movement continues the work begins ",0,0,-2
"2",2017-01-20,55.04,"what truly matters is not which party controls our government but whether our government is controlled by the people ",0,-1,1
"3",2017-01-20,55.04,"today we are not merely transferring power from one administration to another or from one party to another but we are transferring ",0,0,0
"4",2017-01-20,55.04,"so to all americans in every city near and far small and large from mountain to mountain  t co czkkrgxlsi",0,-1,0
"5",2017-01-20,55.04,"the forgotten men and women of our country will be forgotten no longer from this moment on it s going to be americafirst ",0,-1,-2
"6",2017-01-20,55.04,"thank you for a wonderful evening in washington d c inauguration  t co a xpfqthj ",1,2,6
"7",2017-01-20,55.04,"to all americans  t co d es ie fy",0,0,0
"8",2017-01-20,55.04,"we will follow two simple rules buy american amp hire american inaugurationday maga ",0,1,0
"9",2017-01-20,55.04,"january th will be remembered as the day the people became the rulers of this nation again ",0,0,0
"10",2017-01-20,55.04,"power from washington d c and giving it back to you the american people inaugurationday",0,1,0
"11",2017-01-20,55.04,"it is time to remember that  t co zkyoioor ",0,0,0
"12",2017-01-20,55.04,"we will bring back our jobs we will bring back our borders we will bring back our wealth and we will bring back our dreams ",0,1,4
"13",2017-01-21,55.04,"thank you for another wonderful evening in washington d c together we will make america great again  t co v aoj ruh ",1,1,9
"14",2017-01-21,55.04,"a fantastic day and evening in washington d c thank you to foxnews and so many other news outlets for the great reviews of the speech ",1,1,9
"15",2017-01-21,55.04,"rt whitehouse do not allow anyone to tell you that it cannot be done no challenge can match the heart and fight and spirit of america ",0,-1,-1
"16",2017-01-22,55.04,"wow television ratings just out million people watched the inauguration million more than the very good ratings from years ago ",1,2,7
"17",2017-01-22,55.04,"watched protests yesterday but was under the impression that we just had an election why didn t these people vote celebs hurt cause badly ",-3,-1,-7
"18",2017-01-22,55.04,"peaceful protests are a hallmark of our democracy even if i don t always agree i recognize the rights of people to express their views ",1,4,1
"19",2017-01-22,55.04,"had a great meeting at cia headquarters yesterday packed house paid great respect to wall long standing ovations amazing people win ",3,2,11
"20",2017-01-23,54.8,"busy week planned with a heavy focus on jobs and national security top executives coming in at a m to talk manufacturing in america ",1,3,2
"21",2017-01-24,54.7,"great meeting with ford ceo mark fields and general motors ceo mary barra at the whitehouse today  t co t eigo lp ",0,1,3
"22",2017-01-24,54.7,"great meeting with automobile industry leaders at the whitehouse this morning together we will maga  t co oxdilokgsz",0,0,3
"23",2017-01-24,54.7,"a photo delivered yesterday that will be displayed in the upper lower press hall thank you abbas  t co uzp ivvrp ",0,-1,2
"24",2017-01-24,54.7,"signing orders to move forward with the construction of the keystone xl and dakota access pipelines in the oval off  t co aoxmfo vok",0,2,0
"25",2017-01-24,54.7,"will be meeting at with top automobile executives concerning jobs in america i want new plants to be built here for cars sold here ",1,1,3
"26",2017-01-25,54.34,"beginning today the united states of america gets back control of its borders full speech from today dhsgov  t co adahsahg ",0,3,1
"27",2017-01-25,54.34,"i will be interviewed by davidmuir tonight at o clock on abc will be my first interview from the white house  t co zuorrdcoc",0,1,0
