"","Date","Price","bing_score","nrc_score.x","Afinn_score.x","Price2"
"1",2009-05-28,-1.86497601096641,1,1,0,0.0765690786252833
"2",2009-07-13,-2.58053461274846,2,0,2,-4.11455987466954
"3",2010-03-23,0.287183002056205,3,2,3,12.6820718691863
"4",2010-03-31,0.451679232350926,1,2,-1,13.645549789484
"5",2010-04-13,0.87251542152159,1,2,0,16.1104474689122
"6",2010-04-23,1.2357779300891,-1,0,1,18.2381278762362
"7",2010-05-03,1.50993831391364,-1,0,-2,19.8439244100656
"8",2010-05-13,0.320082248115148,-1,0,-2,12.8747674532459
"9",2010-06-22,0.137765592871831,0,2,3,11.8069127582493
"10",2010-06-24,-0.261137765592871,1,1,0,9.47047880152747
"11",2010-07-20,-0.104866346812885,2,4,6,10.3857828258102
"12",2010-07-29,0.209047292666209,3,0,10,12.2244198570449
"13",2010-07-30,0.0582590815627144,0,0,0,11.3412317634388
"14",2010-08-04,0.916381082933517,-1,1,-2,16.3673749143249
"15",2010-08-12,-0.0610006854009599,1,0,0,10.6427102712229
"16",2010-08-19,-0.306374228923919,1,1,4,9.20552237344562
"17",2010-08-23,-0.547635366689513,-1,1,-2,7.79242142367571
"18",2010-10-06,1.08773132282385,2,3,5,17.3709977479683
"19",2010-12-13,1.82659355723098,4,2,6,21.6986194066386
"20",2011-05-17,4.42974640164496,-1,0,-2,36.9456574953491
"21",2011-05-26,5.20699108978753,1,1,-1,41.4980906687555
"22",2011-07-08,5.52775873886224,-1,-1,-3,43.376872613336
"23",2011-07-25,5.64701850582591,-1,0,-4,44.0753941055517
"24",2011-08-05,4.09115832762166,0,1,0,34.9624987760697
"25",2011-08-10,3.66895133653187,-1,0,-1,32.4895721139724
"26",2011-08-11,4.2145305003427,0,5,0,35.685107216293
"27",2011-08-13,4.2145305003427,0,1,4,35.685107216293
"28",2011-08-15,4.36120630568883,0,-1,0,36.5442083618917
"29",2011-08-17,4.70116518163126,-1,0,-2,38.5353960638402
"30",2011-08-18,4.28855380397533,-2,-1,-1,36.1186722804269
"31",2011-08-23,4.56134338588074,1,0,0,37.7164398315872
"32",2011-08-26,4.82727895819054,1,1,2,39.2740624694018
"33",2011-08-29,4.82727895819054,0,3,3,39.2740624694018
"34",2011-08-31,5.40164496230295,-1,0,-2,42.6382062077744
"35",2011-09-06,4.96435915010281,0,1,1,40.0769607363165
"36",2011-09-07,5.54146675805346,2,1,2,43.4571624400274
"37",2011-09-08,5.60863605209047,-2,-1,-2,43.8505825908156
"38",2011-09-12,5.16449623029472,0,0,-1,41.249192206012
"39",2011-09-14,4.93831391363948,0,2,0,39.9244100656027
"40",2011-09-16,5.37148732008225,0,2,1,42.4615685890532
"41",2011-09-23,4.39958875942427,-1,1,0,36.7690198766278
"42",2011-09-27,4.45030843043181,-2,0,-2,37.0660922353863
"43",2011-09-29,4.11309115832762,0,2,0,35.0909624987761
"44",2011-10-03,3.63742289239205,0,1,0,32.304905512582
"45",2011-10-04,3.39479095270733,0,-1,-1,30.883775580143
"46",2011-10-17,4.91363947909527,1,2,3,39.779888377558
"47",2011-10-18,4.79849211788897,-1,-2,-4,39.1054538333497
"48",2011-10-21,4.73269362577108,0,1,0,38.7200626652306
"49",2011-10-24,4.74228923920494,1,2,2,38.7762655439146
"50",2011-10-26,4.57230980123373,-1,-2,-2,37.7806716929404
"51",2011-10-27,4.84921178889651,2,-2,4,39.4025261921081
"52",2011-11-01,4.09801233721727,-2,0,-6,35.0026436894155
"53",2011-11-02,4.62577107607951,-1,0,0,38.0938020170371
"54",2011-11-04,4.81768334475668,-1,1,0,39.2178595907177
"55",2011-11-09,5.23851953392735,0,2,-1,41.6827572701459
"56",2011-11-10,4.96847155586018,-1,-1,0,40.1010476843239
"57",2011-11-11,5.1206305688828,-1,1,0,40.9922647605992
"58",2011-11-14,4.86566141192598,-1,-1,4,39.4988739841379
"59",2011-11-16,4.77518848526388,-1,-1,0,38.9689611279742
"60",2011-11-17,4.41055517477725,-3,-1,-4,36.833251737981
"61",2011-11-23,4.07882111034956,1,1,3,34.8902379320474
"62",2011-11-28,4.42837559972584,0,0,0,36.9376285126799
"63",2011-11-29,4.68471555860178,-2,-1,-7,38.4390482718104
"64",2011-11-30,4.68060315284441,-1,0,-1,38.414961323803
"65",2011-12-01,4.35298149417409,-3,-2,-2,36.4960344658768
"66",2011-12-05,4.53803975325566,-1,0,-4,37.5799471262117
"67",2011-12-06,4.53529814941741,-1,3,2,37.5638891608734
"68",2011-12-08,4.27073337902673,-1,-1,-5,36.014295505728
"69",2011-12-09,4.22686771761481,0,0,1,35.7573680603153
"70",2011-12-12,4.2145305003427,0,-1,1,35.685107216293
"71",2011-12-13,4.41055517477725,-1,1,-2,36.833251737981
"72",2011-12-14,3.92666209732694,0,-1,1,33.9990208557721
"73",2011-12-15,3.76216586703221,0,0,-1,33.0355429354744
"74",2011-12-16,3.69088416723783,-2,-1,1,32.6180358366788
"75",2011-12-20,4.21178889650446,0,-2,-1,35.6690492509547
