"","Date","Price","Text","bing_score","nrc_score","afin_score"
"1",2009-05-04,53.26,"donald trump will be appearing on the view tomorrow morning to discuss celebrity apprentice and his new book think like a champion ",2,1,2
"2",2009-05-04,53.26,"be sure to tune in and watch donald trump on late night with david letterman as he presents the top ten list tonight ",2,0,2
"3",2009-05-08,56.02,"new blog post celebrity apprentice finale and lessons learned along the way ",0,0,0
"4",2009-05-08,56.02,"donald trump reads top ten financial tips on late show with david letterman ",2,0,2
"5",2009-05-12,56.52,"miss usa tara conner will not be fired i ve always been a believer in second chances says donald trump",0,0,-2
"6",2009-05-12,56.52," my persona will never be that of a wallflower i d rather build walls than cling to them donald j trump",1,1,0
"7",2009-05-13,56.84,"listen to an interview with donald trump discussing his new book think like a champion ",2,1,2
"8",2009-05-14,56.25," strive for wholeness and keep your sense of wonder intact donald j trump ",1,2,2
"9",2009-05-15,56.33,"enter the think like a champion signed book and keychain contest ",1,1,2
"10",2009-05-16,56.33," when the achiever achieves it s not a plateau it s a beginning donald j trump ",1,0,0
"11",2009-05-17,56.33," don t be afraid of being unique it s like being afraid of your best self donald j trump ",-1,1,3
"12",2009-05-18,56.51," we win in our lives by having a champion s view of each moment donald j trump ",3,1,4
"13",2009-05-19,57.12," these days we could all use a little of the power of trumpative thinking barnesandnoble com ",0,0,0
"14",2009-05-20,59.1,"read a great interview with donald trump that appeared in the new york times magazine ",1,0,3
"15",2009-05-20,59.1," always know you could be on the precipice of something great donald j trump ",1,0,3
"16",2009-05-22,58.7,"don t forget to enter the think like a champion signed book and keychain contest ",1,1,1
"17",2009-05-22,58.7," keep it fast short and direct whatever it is donald j trump ",2,0,0
"18",2009-05-23,58.7,"did you know donald trump is on facebook ",1,0,0
"19",2009-05-26,59.05," your higher self is in direct opposition to your comfort zone donald j trump ",1,0,2
"20",2009-05-27,61.28,"read an excerpt from think like a champion by donald j trump ",2,1,2
"21",2009-05-28,63.47," you have to know when to call it quits and when to keep moving forward donald j trump ",1,1,0
"22",2009-06-03,66.15,"check out donald trump s new igoogle showcase page ",1,0,0
"23",2009-06-05,67.77," if you don t have problems you re pretending or you don t run your own business donald j trump ",1,0,-3
"24",2009-06-08,67.61,"last week to enter the think like a champion signed book and keychain contest ",1,1,2
"25",2009-06-14,67.61,"today is donald trump s birthday send him your b day wishes here ",1,1,1
"26",2009-06-15,68.49,"thanks to all for your thoughtful birthday wishes donald trump",2,2,5
"27",2009-06-18,69.96,"re fb vanity urls sf chronicle david beckham was one of the first along with britney spears donald trump ",0,0,0
"28",2009-06-21,69.96," wishing a happy father s day to all the dad s out there you are a champion today and everyday ",2,2,4
"29",2009-06-23,66.36," expand your life every day donald j trump ",1,0,1
"30",2009-06-24,68.47,"donald trump s commercial free wwe raw does big rating ",2,-1,2
"31",2009-06-26,68.1,"re michael jackson he was a great friend and a spectacular entertainer it s a devastating loss donald j trump",0,-1,-2
"32",2009-06-30,68.11,"watch a powerful and frank interview with donald trump about the economy on greta van susteren s on the record ",2,2,2
"33",2009-07-04,68.11,"here s to a safe and happy independence day for one and all enjoy it donald j trump",4,4,6
"34",2009-07-13,58.25," be aware of things that seem inexplicable because they can be a big step towards innovation donald j trump ",2,0,2
"35",2009-07-15,61.25,"donald trump backs apprentice randal pinkett for n j lieutenant governor ",1,0,1
"36",2009-07-22,65.36,"congrats to winners from around the world who entered the think like a champion signed book keychain contest ",2,1,4
"37",2009-07-28,68.53,"check out a list of donald trump s books for summer reading at the trump university blog ",2,2,0
"38",2009-08-04,73.82,"browse donald trump s summer reading list for business success at the trump university blog ",3,3,2
"39",2009-08-11,71.58," think that s the first step use all your power to utilize and develop that capability donald j trump ",2,1,0
"40",2009-08-14,71.33,"ivanka is now on twitter you can follow her ivankatrump have a terrific weekend ",1,0,4
"41",2009-08-20,73.75," watch donald trump s recent appearance on the late show with david letterman ",1,-1,0
"42",2009-08-21,73.71,"watch the miss universe competition live from the bahamas sunday pm et on nbc ",-1,-1,-2
"43",2009-08-23,73.71,"reminder the miss universe competition will be live from the bahamas tonight pm est on nbc ",-1,-1,-2
"44",2009-08-29,73.71," donald trump bids to buy the oreo double stuf racing league check it out ",1,1,0
"45",2009-09-01,68.78," more hysterical dsrl videos featuring donald trump and double trump plus enter golden lick race sweepstakes ",2,-2,-3
"46",2009-09-14,66.91,"read donald trump s top ten tips for success ",3,2,4
"47",2009-09-29,64.63," a lot of people have imagination but can t execute you have to execute with the imagination donald j trump ",1,0,0
"48",2009-10-05,65.26," read what donald trump has to say about daughter ivanka s upcoming new book the trump card ",2,1,0
"49",2009-10-14,72.16,"watch video of ivanka trump sharing business advice with entrepreneurial women on gma ",1,0,0
"50",2009-10-22,78.36,"hear donald trump discuss big gov spending banks taxes on your world w neil cavuto ",1,0,1
"51",2009-10-27,76.69," from donald trump ivanka and jared s wedding was spectacular and they make a beautiful couple i m a very proud father ",4,2,5
"52",2009-11-02,75.56," work has begun ahead of schedule to build the greatest golf course in history trump international scotland ",1,2,3
"53",2009-11-16,77.14,"donald trump partners with tv on new reality series entitled omarosa s ultimate merger ",1,0,1
"54",2009-11-26,77.14,"wishing you and yours a very happy and bountiful thanksgiving ",2,3,4
"55",2009-12-03,77.76,"trump international tower in chicago ranked th tallest building in world by council on tall buildings urban habitat ",1,4,0
"56",2009-12-23,73.87,"from donald trump wishing everyone a wonderful holiday a happy healthy prosperous new year let s think like champions in ",5,5,15
"57",2010-01-12,79.38,"celebrity apprentice returns to nbc sunday pm et pt outstanding list of celebrities season should be the best one yet ",1,0,8
"58",2010-01-15,76.85,"trump tycoon app for iphone ipod touch it s but the advice is priceless ",2,1,0
"59",2010-01-21,74.13,"from donald trump i saw lady gaga last night and she was fantastic ",2,0,4
"60",2010-01-22,72.73,"golf channel donald trump s world of golf host a celebrity match tngc la ca mark wahlberg vs kevin dillon ",1,0,0
"61",2010-02-07,72.73,"superbowl sunday is a great american tradition the colts and saints are already champions but may the best team win ",1,0,10
"62",2010-02-10,70.4,"donald trump appearing today on cnn international s connect the world as connector of the day submit questions ",1,0,0
"63",2010-02-11,72.35,"donald trump appeared on the final episode of the jay leno show to deliver a very special message ",1,1,0
"64",2010-02-26,76.36,"from donald trump i m so proud of my wife melania and the launch of her new jewelry line to debut on qvc on april th at p m ",2,2,2
"65",2010-03-05,79.2,"from donald trump andrea bocelli mar a lago many say best night of entertainment in long history of palm beach ",0,0,3
"66",2010-03-12,79.38,"the celebrity apprentice has a two hour premiere this sunday march th at p m on nbc this will be the best season yet see you then ",0,1,3
"67",2010-03-15,77.08,"the new season of the celebrity apprentice is off to a great start last night it swept the p m hour in every key demographic ",0,0,3
"68",2010-03-17,80.28,"olympic gold medalist evan lysacek just left my office he is in town and wanted to meet me he s a fanastic guy and a true champion ",2,2,2
