"","X","Date","Price","Text","bing_score","nrc_score","afin_score"
"1",1,"2009-05-04",53.26,"donald trump will be appearing on the view tomorrow morning to discuss celebrity apprentice and his new book think like a champion ",1,1,1
"7",7,"2009-05-13",56.84,"listen to an interview with donald trump discussing his new book think like a champion ",1,1,1
"8",8,"2009-05-14",56.25," strive for wholeness and keep your sense of wonder intact donald j trump ",1,1,1
"9",9,"2009-05-15",56.33,"enter the think like a champion signed book and keychain contest ",1,1,1
"11",11,"2009-05-17",56.33," don t be afraid of being unique it s like being afraid of your best self donald j trump ",-1,1,1
"12",12,"2009-05-18",56.51," we win in our lives by having a champion s view of each moment donald j trump ",1,1,1
"16",16,"2009-05-22",58.7,"don t forget to enter the think like a champion signed book and keychain contest ",1,1,1
"20",20,"2009-05-27",61.28,"read an excerpt from think like a champion by donald j trump ",1,1,1
"24",24,"2009-06-08",67.61,"last week to enter the think like a champion signed book and keychain contest ",1,1,1
"25",25,"2009-06-14",67.61,"today is donald trump s birthday send him your b day wishes here ",1,1,1
"26",26,"2009-06-15",68.49,"thanks to all for your thoughtful birthday wishes donald trump",1,1,1
"28",28,"2009-06-21",69.96," wishing a happy father s day to all the dad s out there you are a champion today and everyday ",1,1,1
"30",30,"2009-06-24",68.47,"donald trump s commercial free wwe raw does big rating ",1,-1,1
"32",32,"2009-06-30",68.11,"watch a powerful and frank interview with donald trump about the economy on greta van susteren s on the record ",1,1,1
"33",33,"2009-07-04",68.11,"here s to a safe and happy independence day for one and all enjoy it donald j trump",1,1,1
"36",36,"2009-07-22",65.36,"congrats to winners from around the world who entered the think like a champion signed book keychain contest ",1,1,1
"38",38,"2009-08-04",73.82,"browse donald trump s summer reading list for business success at the trump university blog ",1,1,1
"42",42,"2009-08-21",73.71,"watch the miss universe competition live from the bahamas sunday pm et on nbc ",-1,-1,-1
"43",43,"2009-08-23",73.71,"reminder the miss universe competition will be live from the bahamas tonight pm est on nbc ",-1,-1,-1
"45",45,"2009-09-01",68.78," more hysterical dsrl videos featuring donald trump and double trump plus enter golden lick race sweepstakes ",1,-1,-1
"46",46,"2009-09-14",66.91,"read donald trump s top ten tips for success ",1,1,1
"51",51,"2009-10-27",76.69," from donald trump ivanka and jared s wedding was spectacular and they make a beautiful couple i m a very proud father ",1,1,1
"52",52,"2009-11-02",75.56," work has begun ahead of schedule to build the greatest golf course in history trump international scotland ",1,1,1
"54",54,"2009-11-26",77.14,"wishing you and yours a very happy and bountiful thanksgiving ",1,1,1
"56",56,"2009-12-23",73.87,"from donald trump wishing everyone a wonderful holiday a happy healthy prosperous new year let s think like champions in ",1,1,1
"64",64,"2010-02-26",76.36,"from donald trump i m so proud of my wife melania and the launch of her new jewelry line to debut on qvc on april th at p m ",1,1,1
"68",68,"2010-03-17",80.28,"olympic gold medalist evan lysacek just left my office he is in town and wanted to meet me he s a fanastic guy and a true champion ",1,1,1
"69",69,"2010-03-18",80.09,"i am happy to announce that theoriginal apprentice which will offer job opportunities to those in need is coming back ",1,1,1
"70",70,"2010-03-19",78.37,"last week s episode of the celebrity apprentice set the stage for a great new season tune in this sunday on nbc for even more excitement ",1,1,1
"71",71,"2010-03-23",79.17,"the trump hotel collection is currently nominated for conde nast traveler readers choice awards travel leisure and world travel awards ",1,1,1
"74",74,"2010-03-31",80.37,"don t forget the open call at trump tower tomorrow for the apprentice i look forward to seeing you there ",1,1,-1
"75",75,"2010-04-01",82.63,"today s open call drew thousands of eager applicants it was an impressive group i enjoyed meeting them we ve got some great candidates ",1,1,1
"76",76,"2010-04-06",85.05,"then we attended the scottish fashion show that benefits veterans dressed to kilt which i co hosted with sir sean and lady connery ",1,1,1
"78",78,"2010-04-06",85.05,"my bestselling book from last april think like a champion is now available in paperback it s inspiring entertaining and a great read ",1,1,1
"80",80,"2010-04-09",82.77,"this is a terrific day for downtown new york trump soho is unlike anything else be sure to visit this fantastic hotel soon ",1,1,1
"81",81,"2010-04-12",85.21,"the premiere of donald j trump s fabulous world of golf is tomorrow night at p m et on golf channel tune in for a great adventure ",1,1,1
"83",83,"2010-04-14",85.81," before kids can go places they need a place to go the motto of the police athletic league an organization i m very proud to support",1,1,1
