"","Date","Price","Text","bing_score","nrc_score","afin_score"
"1",2009-05-28,63.47," you have to know when to call it quits and when to keep moving forward donald j trump http www trumpthinklikeachampion com",1,1,0
"2",2009-07-13,58.25," be aware of things that seem inexplicable because they can be a big step towards innovation donald j trump http tinyurl com pqpfvm",2,0,2
"3",2010-03-23,79.17,"the trump hotel collection is currently nominated for conde nast traveler readers choice awards travel leisure and world travel awards ",3,2,3
"4",2010-03-31,80.37,"don t forget the open call at trump tower tomorrow for the apprentice i look forward to seeing you there ",1,2,-1
"5",2010-04-13,83.44,"looking forward to seeing the world champion yankees today on opening day ",1,2,0
"6",2010-04-23,86.09,"to put on your calendar for may miss usa live from las vegas on may th p m et on nbc i ll be there tune in for a great show ",-1,0,1
"7",2010-05-03,88.09,"looking forward to the miss usa pageant sunday may on nbc p m et hosted by curtis stone and natalie morales ",-1,0,-2
"8",2010-05-13,79.41,"looking forward to the miss usa pageant sunday may on nbc p m et hosted by curtis stone natalie morales live from las vegas ",-1,0,-2
"9",2010-06-22,78.08,"great job on the larry king live gulf telethon last night million was raised in hours ",0,2,3
"10",2010-06-24,75.17,"the eric trump foundation has raised over towards st jude children s research hospital http twitter com erictrumpfdn",1,1,0
"11",2010-07-20,76.31,"i m proud to accept the hollyrod foundation humanitarian award from holly robinson peete who raised on celebrity apprentice",2,4,6
"12",2010-07-29,78.6,"and stay at the fantastic trump international hotel las vegas http www trump com hotel collection trump las vegas trump las vegas asp",2,0,4
"13",2010-07-29,78.6,"i m helping the serta counting sheep get back to work enter the contest http www facebook com sertamattress and win a trip to las vegas ",1,0,6
"14",2010-07-30,77.5,"enter the contest http www facebook com sertamattress and stay at trump international hotel las vegas",0,0,0
"15",2010-08-04,83.76,"the miss universe pageant will be on august p m on nbc et with bret michaels and natalie morales to co host live from las vegas",-1,1,-2
"16",2010-08-12,76.63,"that trip would be to the trump international hotel las vegas http www trump com hotel collection trump las vegas trump las vegas asp",1,0,0
"17",2010-08-19,74.84,"the original apprentice returns with a two hour premiere on thursday september th looking forward to a fantastic season ",1,1,4
"18",2010-08-23,73.08,"it s going to get hotter in las vegas tonight watch the miss universe pageant tonight on nbc at p m i m looking forward to being there ",-1,1,-2
"19",2010-10-06,85.01,"i m honored to be presented the award of doctor of business administration honoris causa from robert gordon university in aberdeen scotland",2,3,5
"20",2010-12-13,90.4,"all the hotels currently open in the trump hotel collection have been nominated for travel leisure s world s best awards ",2,1,6
"21",2010-12-13,90.4," trump international hotel las vegas and trump international hotel tower waikiki beach walk http tlworldsbest roiresearch com ",2,1,0
"22",2011-05-17,109.39,"vote for the next miss usa http bit ly lxobom vegasusa missusa",-1,0,-2
"23",2011-05-26,115.06," therealmissusa and the contestants stopped by trump tower yesterday watch the video http bit ly jqkneq missusa vegasusa ",1,1,-1
"24",2011-07-08,117.4," obama iranian weapons killing americans in iraq what are u doing about this http t co pbnwzea",-1,-1,-3
"25",2011-07-25,118.27,"unfortunately barackobama s continued attack on the us will lead to ever rising gas prices at the pump and lots of other really bad things",-1,0,-4
"26",2011-08-05,106.92,"the new president of opec is mahmoud ahmadinejad s confidant rostam ghasemi a commander of the revolutionar cont http deck ly unuil",0,1,0
"27",2011-08-10,103.84,"oil is starting to rise again despite the horrible times opec continues to rip us off not worth new leadership needed ",-1,0,-1
"28",2011-08-11,107.82,"looking forward to the gop debate and the outcome of the ames straw poll we must get a real leader ",0,5,0
"29",2011-08-13,107.82,"ron paul is right that we are wasting trillions of dollars in iraq and afghanistan ",-1,-1,-2
"30",2011-08-13,107.82,"mike huckebee a great guy said the president should appoint me treasury secretary china and opec would not be happy ",1,2,6
"31",2011-08-15,108.89,"reporters say it s the trump bump i tell cnbc i am buying stocks and the market goes up ",0,-1,0
"32",2011-08-17,111.37,"ron paul is right when he says we are wasting lives and money in iraq and afghanistan ",-1,0,-2
"33",2011-08-18,108.36,"insurgents in iraq show they can still mount horrifying attacks us wastes trillions ",-2,-1,-1
"34",2011-08-23,110.35,"we spent over a billion on libya and lead the way why is europe getting the oil ",1,0,0
"35",2011-08-26,112.29,"libyan rebels should have given us of the oil in return for our military support we don t even ask ",1,1,2
"36",2011-08-29,112.29,"iran admits to aiding the libyan rebels and ahmadinejad received a letter of thanks when will washington learn http t co pitnjx ",0,3,1
"37",2011-08-29,112.29,"crude is at right now isn t even worth half that opec is ripping us off ",0,0,2
"38",2011-08-31,116.48,"with gas prices rising and the economy failing barackobama seeks to have his epa raise energy prices by b http t co vcm gmd",-1,0,-2
"39",2011-09-06,113.29,"oil is double the price now compared to last year opec is laughing at barackobama ",0,1,1
"40",2011-09-07,117.5,"usa should take oil from iraq in repayment for their liberation http t co rsrfqg",1,1,0
"41",2011-09-07,117.5,"us should have told libya rebels give us of your oil for our military support ",1,0,2
"42",2011-09-08,117.99,"why is the un planning to attack israel s sovereignty and ignore iran s nuclear program the us should look at future funding ",-2,-1,-2
"43",2011-09-12,114.75,"iran s nuclear program must be stopped by any and all means necessary ",0,0,-1
"44",2011-09-14,113.1,"i m looking forward to seeing you all this afternoon at macy s herald square pm at the crystal department on ",0,2,0
"45",2011-09-16,116.26,"if china had a tenth of the natural resources we do then they would already be energy independent instead we continue to buy oil from opec ",0,2,1
"46",2011-09-23,109.17,"opec is ripping us off on oil we are ripping ourselves off by investing in unproven green energy solyndra",-1,1,0
"47",2011-09-27,109.54,"our economy is struggling and opec continues to rip us off output is low and the price is too high they ar cont http t co s wgm ou",-2,0,-2
"48",2011-09-29,107.08,"the iranians have just threatened to send warships to our coasts they laugh at us we can t allow them to develop nuclear weapons ",0,2,0
"49",2011-10-03,103.61,"looking forward to speaking at sparknb next week in atlantic canada my first time ever ",0,1,0
"50",2011-10-04,101.84,"looking forward to visiting the trump vineyard estates today in charlottesville va for a press conference and the grand opening ",2,1,3
"51",2011-10-04,101.84,"our national debt has grown by and a gallon of gas has doubled so far under barackobama he is a disaster ",-2,-2,-4
"52",2011-10-17,112.92,"happy to have passed followers looking forward to passing m sooner than later ",1,2,3
"53",2011-10-18,112.08,"iraq s government is treating us like fools we should demand their oil ",0,-2,-1
"54",2011-10-18,112.08,"iran was planning to attack the israeli and saudi dc embassies we should respond accordingly the diplomatic window is closed ",0,1,-1
"55",2011-10-18,112.08,"it is time for iran to face serious consequences this regime is a threat to our national security ",-1,-1,-2
"56",2011-10-21,111.6,"why is crude oil priced at barrel opec is ripping us off not worth barrel america needs new leaders ",0,0,2
"57",2011-10-21,111.6,"why did barackobama liberate libya and do nothing for the iranian protestors iran is a threat to our national security ",0,0,-2
"58",2011-10-21,111.6,"why did we spend billions of our money on libya if we are not going to get any of the country s oil what do we get out of this ",0,1,0
